Time: 2024-12-26 17:08:00, X_best: [4.049059475653692, 0.8660334842196449, 1.0303140967448905, 0.16792023063881, 24.098298032683356, 8.894133641858062, 27.870180044216546, 2.610530933079138], pos+0.5*ang, Ellipse
Time: 2024-12-26 17:15:28, X_best: [3.8126133408909406, 1.9181100470198968, 1.757979941451124, 0.8984967562005386, 29.03704924678093, 5.275623241808477, 28.95573223531514, 3.147347257408023], pos+0.7*ang, Ellipse
Time: 2024-12-26 17:32:39, X_best: [2.0046851058346977, 0.6068910038390224, 4.603992142734472, 2.6369998077793015, 28.668240114582616, 5.702423980557506, 27.44551871583439, 3.3539280146669204], pos+0.9*ang, Ellipse
Time: 2024-12-26 17:45:19, X_best: [4.687758186124756, 1.4296346365953099, 0.2856532053232258, 0.1277976627077243, 15.051168622567353, 8.789673492004463, 27.475536423728727, 2.4837404670175456], pos+0.2*ang, Ellipse
Time: 2024-12-26 17:49:25, X_best: [0.8431087137695692, 0.3501496564574941, 3.1059263772486947, 1.30153741565372, 28.76466735706861, 14.912916267297199, 29.61299766820303, 3.1071191235708797], pos+0.1*ang, Ellipse
Time: 2024-12-27 10:39:55, X_best: [2.7307314613043694, 1.2636842972856743, 0.5819787017837508, 0.3462285086337469, 25.229386287037254, 5.2892080288890035, 12.104661576254772, 0.9712267064017677], pos+0.25*ang, Ellipse
Time: 2024-12-27 10:44:36, X_best: [4.099253726484498, 1.6379596572177197, 1.4008927648105822, 0.36550501260108725, 29.03601455649406, 13.44778986122953, 29.517286747658527, 3.949353572587359], pos+0.4*ang, Ellipse
Time: 2024-12-27 10:53:17, X_best: [0.32194061614021996, 0.20153146932523403, 1.1761445347979675, 0.3591972200120114, 20.76842906003299, 14.468668855845765, 27.916627520312012, 1.722016224633588], pos+0.35*ang, Ellipse
Time: 2024-12-27 11:04:13, X_best: [2.876239041889921, 1.2909643864661924, 1.4343074369643027, 0.5757223657461497, 21.130906315693494, 10.326548159979778, 27.19142783112567, 3.2999263109630106], pos+0.325*ang, Ellipse
Time: 2024-12-27 11:14:03, X_best: [3.4446540789780493, 1.0561930726700437, 2.9264789365837096, 0.9208850628150023, 28.78122802550002, 5.218507663695698, 29.777450324409877, 2.9759238164712527], pos+0.325*ang, Ellipse
Time: 2024-12-27 11:24:16, X_best: [3.5291266868845996, 0.11879563527277481, 2.2936464089416675, 0.28439081256527443, 29.463153661325386, 5.854888361254299, 29.421157049692205, 0.800859510268368], pos+0.3*ang, Four-leaf clover
